Symbol,Date,Jahr,Monat,Wochentag,KW,Quartal,Open,High,Low,Close,Volume,Rendite_Tag,Spanne_Pct,Index_100,MA_20,MA_50,MA_200,Vol_20d_Ann,Drawdown_Pct,Vol_Avg_20d
SMCI,2023-07-05,2023,7,3,27,3,24.8,26.338,24.795,25.5,20598000,0.023274,0.06223,1079.14,23.8356,18.7418,10.9448,0.5725,-0.0255,29435150.0
SMCI,2023-07-06,2023,7,4,27,3,25.299,25.6,24.51,25.053,17578000,-0.017529,0.044472,1060.22,23.9224,19.0456,11.0389,0.5631,-0.0425,29278300.0
SMCI,2023-07-07,2023,7,5,27,3,25.5,26.777,25.455,26.001,28712000,0.03784,0.051935,1100.34,24.0236,19.3791,11.1399,0.5694,-0.0063,28466500.0
SMCI,2023-07-10,2023,7,1,28,3,26.2,27.02,25.331,26.993,25112000,0.038152,0.066677,1142.32,24.1015,19.7292,11.247,0.545,0.0,27961050.0
SMCI,2023-07-11,2023,7,2,28,3,27.517,28.29,26.254,27.095,29304000,0.003779,0.07755,1146.64,24.1479,20.0739,11.3549,0.5368,0.0,27672400.0
SMCI,2023-07-12,2023,7,3,28,3,27.305,27.8,26.521,27.664,27742000,0.021,0.048226,1170.72,24.2379,20.4163,11.4661,0.5382,0.0,27325250.0
SMCI,2023-07-13,2023,7,4,28,3,28.026,29.539,27.921,29.405,30651000,0.062934,0.057949,1244.39,24.4869,20.7942,11.5864,0.5285,0.0,26597550.0
SMCI,2023-07-14,2023,7,5,28,3,29.8,30.685,28.844,29.538,37569000,0.004523,0.063826,1250.02,24.725,21.1761,11.7081,0.5285,0.0,27153200.0
SMCI,2023-07-17,2023,7,1,29,3,29.91,30.511,29.219,30.205,25495000,0.022581,0.044218,1278.25,25.0156,21.5123,11.8323,0.522,0.0,27328850.0
SMCI,2023-07-18,2023,7,2,29,3,30.25,31.937,29.615,31.84,26622000,0.05413,0.078406,1347.44,25.4538,21.8763,11.9637,0.4825,0.0,27142650.0
SMCI,2023-07-19,2023,7,3,29,3,32.4,32.907,29.64,30.367,44017000,-0.046263,0.110223,1285.1,25.8601,22.2092,12.0883,0.4981,-0.0463,27661850.0
SMCI,2023-07-20,2023,7,4,29,3,29.874,30.797,28.134,30.295,49297000,-0.002371,0.094654,1282.06,26.2753,22.5418,12.2123,0.4926,-0.0485,28824900.0
SMCI,2023-07-21,2023,7,5,29,3,30.9,31.516,29.601,30.315,40185000,0.00066,0.064694,1282.9,26.6588,22.8836,12.3353,0.4931,-0.0479,28865850.0
